name,type,full_address,city,country,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,range
Amaterasu Pateo do Sushi,Sushi restaurant,"Praceta Prof. Alfredo de Sousa 4, 1495-241 Algés",Lisbon,Portugal,38.7050671,-9.237553199999999,4.5,2037.0,52.0,34.0,125.0,529.0,1297.0,€€
The O2,Restaurant,"Peninsula Square, London SE10 0DX",London,United Kingdom of Great Britain and Northern Ireland,51.503038,0.0031543,4.5,55718.0,1026.0,957.0,3721.0,13690.0,36324.0,
Sky Garden,Restaurant,"1, Sky Garden Walk, London EC3M 8AF",London,United Kingdom of Great Britain and Northern Ireland,51.5112422,-0.08354929999999999,4.7,45987.0,712.0,449.0,1850.0,7821.0,35155.0,
Selfridges,Restaurant,"400 Oxford St, London W1A 1AB",London,United Kingdom of Great Britain and Northern Ireland,51.5144233,-0.152767,4.4,31105.0,863.0,599.0,2385.0,7163.0,20095.0,
Hard Rock Cafe,American restaurant,"150 Old Park Ln, London W1K 1QZ",London,United Kingdom of Great Britain and Northern Ireland,51.5038308,-0.1492293,4.4,14884.0,393.0,408.0,1185.0,3440.0,9458.0,£££
Duck & Waffle,Modern European restaurant,"110 Bishopsgate, London EC2N 4AY",London,United Kingdom of Great Britain and Northern Ireland,51.5162529,-0.0811942,4.2,8021.0,507.0,347.0,698.0,1891.0,4578.0,£££
SUSHISAMBA London,Japanese restaurant,"Heron Tower, Bishopsgate, London EC2N 4AY",London,United Kingdom of Great Britain and Northern Ireland,51.5162822,-0.08096439999999999,4.4,7167.0,287.0,204.0,504.0,1468.0,4704.0,££££
The Ned,Hotel,"27 Poultry, London EC2R 8AJ",London,United Kingdom of Great Britain and Northern Ireland,51.5136153,-0.090129,4.5,5783.0,153.0,101.0,325.0,1151.0,4053.0,
Coppa Club Tower Bridge,Modern European restaurant,"3 Three Quays Walk, Lower Thames St, London EC3R 6AH",London,United Kingdom of Great Britain and Northern Ireland,51.5080475,-0.0794822,4.0,5766.0,458.0,326.0,629.0,1472.0,2881.0,££
Gökyüzü Restaurant,Turkish restaurant,"Southend Road, London E4 8TA",London,United Kingdom of Great Britain and Northern Ireland,51.6051092,-0.0251661,4.3,5754.0,348.0,172.0,481.0,1309.0,3444.0,££
Madison,Modern European restaurant,"Rooftop Terrace One, New Change, London EC4M 9AF",London,United Kingdom of Great Britain and Northern Ireland,51.513618,-0.09541,4.3,5743.0,517.0,195.0,332.0,901.0,3798.0,£££
Piz,Pizza restaurant,"Via Torino, 34, 20123 Milano MI",Milan,Italy,45.4621036,9.1858839,4.6,7430.0,208.0,155.0,393.0,1197.0,5477.0,€€
Gino Sorbillo,Pizza restaurant,"Largo Corsia dei Servi, 11, 20122 Milano MI",Milan,Italy,45.4649764,9.1956571,4.1,6774.0,441.0,310.0,789.0,1690.0,3544.0,€€
Spontini,Pizza restaurant,"Via Santa Radegonda, 11, 20121 Milano MI",Milan,Italy,45.4657451,9.191205799999999,4.2,6197.0,247.0,259.0,870.0,1693.0,3128.0,€
Pizza AM,Pizza restaurant,"Corso di Porta Romana, 83, 20122 Milano MI",Milan,Italy,45.4556129,9.196863,4.7,4745.0,67.0,48.0,177.0,653.0,3800.0,€
Carlsberg Øl,Pizza restaurant,"Bastioni di Porta Nuova, 9, 20121 Milano MI",Milan,Italy,45.4798306,9.1892712,4.0,4307.0,132.0,194.0,718.0,1692.0,1571.0,€€
Da Zero,Pizza restaurant,"Via Bernardino Luini, 9, 20123 Milano MI",Milan,Italy,45.4642803,9.1793335,4.4,3110.0,110.0,76.0,237.0,737.0,1950.0,€€
Biancolatte,Breakfast restaurant,"Via Filippo Turati, 30, 20121 Milano MI",Milan,Italy,45.4763069,9.1952257,4.2,2726.0,126.0,101.0,306.0,844.0,1349.0,€€
La Prosciutteria Milano Brera,Small plates restaurant,"Corso Garibaldi, 55, 20121 Milano MI",Milan,Italy,45.4742355,9.1833905,4.3,2630.0,109.0,63.0,215.0,717.0,1526.0,€€
LùBar,Restaurant,"Via Palestro, 16, 20121 Milano MI",Milan,Italy,45.472704,9.200151,4.0,2470.0,222.0,156.0,298.0,612.0,1182.0,
Greek Fusion,Greek restaurant,"Ripa di Porta Ticinese, 15, 20143 Milano MI",Milan,Italy,45.45186169999999,9.175965099999999,4.0,2464.0,128.0,101.0,351.0,850.0,1034.0,€
Angelina Paris,French restaurant,"226 Rue de Rivoli, 75001 Paris",Paris,France,48.8650898,2.3284434,4.3,9791.0,367.0,359.0,851.0,2225.0,5989.0,€€€
Le Train Bleu,French restaurant,"Pl. Louis-Armand, 75012 Paris",Paris,France,48.8448989,2.3732694,4.3,6374.0,330.0,206.0,479.0,1418.0,3941.0,€€€
Les Deux Magots,Brasserie,"6 Pl. Saint-Germain des Prés, 75006 Paris",Paris,France,48.854052,2.3331062,4.2,6323.0,288.0,242.0,684.0,1763.0,3346.0,€€€
Au Pied de Cochon,French restaurant,"6 Rue Coquillière, 75001 Paris",Paris,France,48.86351759999999,2.3437221,4.2,6173.0,336.0,234.0,665.0,1671.0,3267.0,€€€
Le Procope,French restaurant,"13 Rue de l'Ancienne Comédie, 75006 Paris",Paris,France,48.8529913,2.3387975,4.2,5507.0,259.0,237.0,589.0,1378.0,3044.0,€€€
Higuma,Authentic Japanese restaurant,"32bis Rue Sainte-Anne, 75001 Paris",Paris,France,48.8665886,2.3357844,4.2,4764.0,258.0,205.0,476.0,1321.0,2504.0,€
Le Ciel de Paris Restaurant,Fine dining restaurant,"Tour Maine Montparnasse, 56ème, Av. du Maine, 75015 Paris",Paris,France,48.842147,2.322121,4.2,4469.0,252.0,152.0,400.0,1124.0,2541.0,€€€€
L'île,French restaurant,"170 Quai de Stalingrad Parc de l’Ile Saint-Germain, 92130 Issy-les-Moulineaux",Paris,France,48.8258219,2.2563195,4.1,3675.0,247.0,191.0,360.0,1032.0,1845.0,€€€
Kodawari Ramen (Tsukiji),Ramen restaurant,"12 Rue de Richelieu, 75001 Paris",Paris,France,48.86434209999999,2.3362452,4.5,3582.0,150.0,95.0,174.0,509.0,2654.0,€€
aKi,Japanese restaurant,"11bis Rue Sainte-Anne, 75001 Paris",Paris,France,48.8661441,2.3352944,4.4,3510.0,68.0,96.0,232.0,947.0,2167.0,
Zeughauskeller,Swiss restaurant,"Bahnhofstrasse 28A, 8001 Zürich",Zürich,Switzerland,47.3704208,8.5399742,4.4,8189.0,178.0,163.0,632.0,2503.0,4713.0,$$
Juckerfarm,Restaurant,"Dorfstrasse 23, 8607 Seegräben",Zürich,Switzerland,47.3438324,8.772679799999999,4.5,5453.0,103.0,100.0,364.0,1376.0,3510.0,$$
Frau Gerolds Garten,Restaurant,"Geroldstrasse 23, 8005 Zürich",Zürich,Switzerland,47.3856648,8.5193622,4.5,5375.0,73.0,80.0,313.0,1412.0,3497.0,$$
Sternen Grill + Sternen Grill Restaurant im oberen Stock,Swiss restaurant,"Theaterstrasse 22, 8001 Zürich",Zürich,Switzerland,47.3672832,8.545544099999999,4.4,3811.0,89.0,92.0,288.0,1094.0,2248.0,$$
Swiss Chuchi Restaurant,Swiss restaurant,"Rosengasse 10, 8001 Zürich",Zürich,Switzerland,47.37316389999999,8.5436592,4.3,3494.0,152.0,105.0,322.0,994.0,1921.0,$$
Hiltl Dachterrasse,Vegetarian restaurant,"Bahnhofstrasse 88, 8001 Zürich",Zürich,Switzerland,47.3756117,8.5395694,4.5,2976.0,45.0,46.0,202.0,879.0,1804.0,$$
Rheinfelder Bierhalle,Beer hall,"Niederdorfstrasse 76, 8001 Zürich",Zürich,Switzerland,47.3759083,8.5441704,4.2,2670.0,89.0,74.0,291.0,844.0,1372.0,$
Holy Cow!,Hamburger restaurant,"Zähringerstrasse 28, 8001 Zürich",Zürich,Switzerland,47.3754515,8.5447521,4.3,2637.0,67.0,80.0,285.0,801.0,1404.0,$$
Volkshaus,Swiss restaurant,"Stauffacherstrasse 60, 8004 Zürich",Zürich,Switzerland,47.3755922,8.527135,4.2,2607.0,75.0,70.0,331.0,950.0,1181.0,$$
The Dolder Grand,Restaurant,"Kurhausstrasse 65, 8032 Zürich",Zürich,Switzerland,47.3727455,8.5731945,4.7,2520.0,55.0,26.0,93.0,333.0,2013.0,
Watergarden AVM,Shopping mall,"Barbaros, Kızılbegonya Sok 10/1, 34746 Ataşehir/İstanbul",İstanbul,Turkey,40.9976707,29.0996013,4.4,26732.0,737.0,556.0,2247.0,6088.0,17104.0,
Gözdağı Sosyal Tesisleri,Restaurant,"Dumlupınar, Dolayoba Dumlupınar Mh. Muhtarlığı, 34896 Pendik/İstanbul",İstanbul,Turkey,40.892016,29.253578,4.4,9847.0,385.0,231.0,865.0,2095.0,6271.0,$$
Köfteci Yusuf,Restaurant,"Küçükbakkalköy Mahallesi Şehit Şakir Elkovan Caddesi No:20 D:2 D:kat, 34750",İstanbul,Turkey,40.986233,29.118399,4.1,6826.0,596.0,301.0,709.0,1386.0,3834.0,$$
Tatar Salim,Restaurant,"Küçükbakkalköy, Küçükbakkalköy Atilla İlhan Cd &, Efe Sk. No:4, 34750 Ataşehir/İstanbul",İstanbul,Turkey,40.9861811,29.1097758,4.4,6108.0,198.0,151.0,440.0,1369.0,3950.0,$$
Bulvar 216,Shopping mall,"Barbaros, Gelincik Sk No:4, 34746 Ataşehir/İstanbul",İstanbul,Turkey,40.9939723,29.1107022,4.1,6047.0,307.0,268.0,953.0,1665.0,2854.0,
Metropol Istanbul avm,Shopping mall,"Ataşehir Atatürk, 34758 Ataşehir/İstanbul",İstanbul,Turkey,40.994013,29.1224396,4.4,5741.0,208.0,121.0,433.0,1202.0,3777.0,
Burger Yiyelim Şirinevler,Hamburger restaurant,"Şirinevler, Fetih Cd. No:54, 34188 Bahçelievler/İstanbul",İstanbul,Turkey,40.9951875,28.848096,4.3,5400.0,320.0,124.0,421.0,1054.0,3481.0,$$
Dönerci Ali Usta Şirinevler,Doner kebab restaurant,"Zafer, Yenibosna, Adnan Kahveci Blv. No:44/a, 34197 Bahçelievler/İstanbul",İstanbul,Turkey,40.9925308,28.8376302,4.3,4872.0,258.0,132.0,465.0,1138.0,2879.0,$$
Ağababa Döner & Yemek Restaurant,Kebab shop,"Yukarı Dudullu, Nato Yolu Cd No:229, 34775 Ümraniye/İstanbul",İstanbul,Turkey,41.0051646,29.1667723,4.3,4389.0,269.0,121.0,342.0,1035.0,2622.0,$$
Pullman Istanbul Hotel & Convention Center,Hotel,"Yenibosna Merkez, 1. Asena Sk. No:15, 34295 Bahçelievler/İstanbul",İstanbul,Turkey,41.0050003,28.8124519,4.3,4213.0,253.0,120.0,331.0,887.0,2622.0,
